model,patient,threshold,fp_per_hour,sensitivity,precision
logistic,03,inf,0.0,0.0,1.0
logistic,03,1.0,3.8130295874427,0.10416666666666667,0.47413793103448276
logistic,03,0.9999999999999998,4.125572996249479,0.10416666666666667,0.45454545454545453
logistic,03,0.9999999999999993,4.375607723294902,0.10416666666666667,0.44
logistic,03,0.9999999999999991,4.438116405056258,0.10606060606060606,0.4409448818897638
logistic,03,0.9999999999999989,4.438116405056258,0.10795454545454546,0.4453125
logistic,03,0.9999999999999987,4.500625086817614,0.10795454545454546,0.4418604651162791
logistic,03,0.9999999999999978,4.625642450340325,0.10795454545454546,0.4351145038167939
logistic,03,0.9999999999999969,4.750659813863036,0.11174242424242424,0.43703703703703706
logistic,03,0.999999999999992,4.875677177385748,0.11174242424242424,0.4306569343065693
logistic,03,0.9999999999999885,4.875677177385748,0.11363636363636363,0.43478260869565216
logistic,03,0.9999999999999867,5.0006945409084596,0.11363636363636363,0.42857142857142855
logistic,03,0.999999999999982,5.0006945409084596,0.11553030303030302,0.4326241134751773
logistic,03,0.9999999999999765,5.063203222669816,0.11553030303030302,0.4295774647887324
logistic,03,0.9999999999999758,5.063203222669816,0.11931818181818182,0.4375
logistic,03,0.9999999999999509,5.625781358522017,0.11931818181818182,0.4117647058823529
logistic,03,0.9999999999999396,5.625781358522017,0.12310606060606061,0.41935483870967744
logistic,03,0.9999999999999263,5.813307403806085,0.12310606060606061,0.41139240506329117
logistic,03,0.9999999999999141,5.813307403806085,0.1268939393939394,0.41875
logistic,03,0.9999999999998992,5.87581608556744,0.1268939393939394,0.4161490683229814
logistic,03,0.9999999999998794,5.87581608556744,0.12878787878787878,0.41975308641975306
logistic,03,0.9999999999996625,6.31337685789693,0.12878787878787878,0.40236686390532544
logistic,03,0.9999999999996068,6.31337685789693,0.13068181818181818,0.40588235294117647
logistic,03,0.9999999999994882,6.688428948465065,0.13068181818181818,0.39204545454545453
logistic,03,0.9999999999994809,6.688428948465065,0.13257575757575757,0.3954802259887006
logistic,03,0.9999999999983809,7.18849840255591,0.13257575757575757,0.3783783783783784
logistic,03,0.9999999999981306,7.18849840255591,0.14015151515151514,0.3915343915343915
logistic,03,0.9999999999972875,7.6260591748854,0.14015151515151514,0.37755102040816324
logistic,03,0.9999999999964715,7.6260591748854,0.14583333333333334,0.3869346733668342
logistic,03,0.9999999999961842,7.751076538408112,0.14583333333333334,0.38308457711442784
logistic,03,0.9999999999956206,7.751076538408112,0.14962121212121213,0.3891625615763547
logistic,03,0.9999999999941094,7.876093901930825,0.14962121212121213,0.3853658536585366
logistic,03,0.9999999999930727,7.876093901930825,0.15151515151515152,0.3883495145631068
logistic,03,0.9999999999922462,7.938602583692179,0.15151515151515152,0.3864734299516908
logistic,03,0.9999999999921361,7.938602583692179,0.1534090909090909,0.3894230769230769
logistic,03,0.9999999999899725,8.188637310737603,0.1534090909090909,0.38207547169811323
logistic,03,0.9999999999890623,8.188637310737603,0.1553030303030303,0.38497652582159625
logistic,03,0.9999999999857405,8.251145992498959,0.1553030303030303,0.38317757009345793
logistic,03,0.9999999999847802,8.251145992498959,0.1571969696969697,0.386046511627907
logistic,03,0.9999999999762184,8.68870676482845,0.1571969696969697,0.3738738738738739
logistic,03,0.9999999999760838,8.68870676482845,0.1590909090909091,0.37668161434977576
logistic,03,0.9999999999628115,9.001250173635228,0.1590909090909091,0.3684210526315789
logistic,03,0.9999999999611677,9.001250173635228,0.16098484848484848,0.37117903930131
logistic,03,0.9999999999480644,9.188776218919294,0.16098484848484848,0.36637931034482757
logistic,03,0.9999999999397289,9.188776218919294,0.16666666666666666,0.37446808510638296
logistic,03,0.9999999999304479,9.313793582442006,0.16666666666666666,0.37130801687763715
logistic,03,0.9999999999229001,9.313793582442006,0.17234848484848486,0.37916666666666665
logistic,03,0.9999999999064013,9.376302264203362,0.17234848484848486,0.3775933609958506
logistic,03,0.999999999896239,9.376302264203362,0.17424242424242425,0.38016528925619836
logistic,03,0.9999999998685054,9.626336991248785,0.17424242424242425,0.37398373983739835
logistic,03,0.9999999998296871,9.626336991248785,0.17992424242424243,0.3815261044176707
logistic,03,0.9999999998074547,9.751354354771497,0.17992424242424243,0.3784860557768924
logistic,03,0.9999999997926945,9.751354354771497,0.18181818181818182,0.38095238095238093
logistic,03,0.9999999997746947,9.876371718294207,0.18181818181818182,0.3779527559055118
logistic,03,0.9999999997179134,9.876371718294207,0.1856060606060606,0.3828125
logistic,03,0.9999999995717066,10.188915127100987,0.1856060606060606,0.37547892720306514
logistic,03,0.999999999472162,10.188915127100987,0.19507575757575757,0.38721804511278196
logistic,03,0.9999999993408974,10.313932490623698,0.19507575757575757,0.3843283582089552
